params,retorno_porcentual,win_rate
"{'periodo_corto': 14, 'periodo_largo': 12, 'periodo_signal': 6}",1.44,0.6521739130434783
"{'periodo_corto': 16, 'periodo_largo': 11, 'periodo_signal': 13}",1.44,0.6333333333333333
"{'periodo_corto': 2, 'periodo_largo': 17, 'periodo_signal': 5}",1.43,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 68, 'periodo_signal': 7}",1.43,0.44047619047619047
"{'periodo_corto': 2, 'periodo_largo': 128, 'periodo_signal': 6}",1.43,0.45054945054945056
"{'periodo_corto': 3, 'periodo_largo': 90, 'periodo_signal': 6}",1.43,0.4810126582278481
"{'periodo_corto': 3, 'periodo_largo': 91, 'periodo_signal': 5}",1.43,0.5054945054945055
"{'periodo_corto': 3, 'periodo_largo': 92, 'periodo_signal': 6}",1.43,0.4935064935064935
"{'periodo_corto': 4, 'periodo_largo': 59, 'periodo_signal': 3}",1.43,0.4897959183673469
"{'periodo_corto': 4, 'periodo_largo': 79, 'periodo_signal': 5}",1.43,0.4864864864864865
"{'periodo_corto': 4, 'periodo_largo': 85, 'periodo_signal': 4}",1.43,0.4935064935064935
"{'periodo_corto': 4, 'periodo_largo': 93, 'periodo_signal': 4}",1.43,0.4567901234567901
"{'periodo_corto': 4, 'periodo_largo': 97, 'periodo_signal': 4}",1.43,0.4567901234567901
"{'periodo_corto': 4, 'periodo_largo': 99, 'periodo_signal': 5}",1.43,0.47368421052631576
"{'periodo_corto': 4, 'periodo_largo': 122, 'periodo_signal': 3}",1.43,0.4606741573033708
"{'periodo_corto': 4, 'periodo_largo': 125, 'periodo_signal': 3}",1.43,0.48314606741573035
"{'periodo_corto': 4, 'periodo_largo': 190, 'periodo_signal': 3}",1.43,0.5
"{'periodo_corto': 5, 'periodo_largo': 23, 'periodo_signal': 3}",1.43,0.44761904761904764
"{'periodo_corto': 5, 'periodo_largo': 85, 'periodo_signal': 3}",1.43,0.4444444444444444
"{'periodo_corto': 6, 'periodo_largo': 91, 'periodo_signal': 4}",1.43,0.4915254237288136
"{'periodo_corto': 11, 'periodo_largo': 10, 'periodo_signal': 4}",1.43,0.6065573770491803
"{'periodo_corto': 19, 'periodo_largo': 12, 'periodo_signal': 4}",1.43,0.6
"{'periodo_corto': 19, 'periodo_largo': 18, 'periodo_signal': 4}",1.43,0.6077348066298343
"{'periodo_corto': 2, 'periodo_largo': 10, 'periodo_signal': 5}",1.42,0.4846153846153846
"{'periodo_corto': 2, 'periodo_largo': 11, 'periodo_signal': 12}",1.42,0.4606741573033708
"{'periodo_corto': 2, 'periodo_largo': 18, 'periodo_signal': 5}",1.42,0.47244094488188976
"{'periodo_corto': 2, 'periodo_largo': 69, 'periodo_signal': 7}",1.42,0.42857142857142855
"{'periodo_corto': 2, 'periodo_largo': 85, 'periodo_signal': 8}",1.42,0.47435897435897434
"{'periodo_corto': 2, 'periodo_largo': 106, 'periodo_signal': 6}",1.42,0.4421052631578947
"{'periodo_corto': 2, 'periodo_largo': 127, 'periodo_signal': 6}",1.42,0.45054945054945056
"{'periodo_corto': 2, 'periodo_largo': 136, 'periodo_signal': 6}",1.42,0.45555555555555555
"{'periodo_corto': 2, 'periodo_largo': 140, 'periodo_signal': 6}",1.42,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 142, 'periodo_signal': 6}",1.42,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 152, 'periodo_signal': 6}",1.42,0.4444444444444444
"{'periodo_corto': 2, 'periodo_largo': 153, 'periodo_signal': 6}",1.42,0.4444444444444444
"{'periodo_corto': 4, 'periodo_largo': 12, 'periodo_signal': 3}",1.42,0.5210084033613446
"{'periodo_corto': 4, 'periodo_largo': 58, 'periodo_signal': 3}",1.42,0.49019607843137253
"{'periodo_corto': 4, 'periodo_largo': 74, 'periodo_signal': 4}",1.42,0.42857142857142855
"{'periodo_corto': 4, 'periodo_largo': 80, 'periodo_signal': 3}",1.42,0.46938775510204084
"{'periodo_corto': 4, 'periodo_largo': 84, 'periodo_signal': 4}",1.42,0.48717948717948717
"{'periodo_corto': 4, 'periodo_largo': 87, 'periodo_signal': 3}",1.42,0.4479166666666667
"{'periodo_corto': 4, 'periodo_largo': 147, 'periodo_signal': 3}",1.42,0.5176470588235295
